date,hour,price_eur_mwh
2024-11-03,1,101.19
2024-11-03,2,91.36
2024-11-03,3,85.51
2024-11-03,4,85.0
2024-11-03,5,76.25
2024-11-03,6,75.12
2024-11-03,7,84.18
2024-11-03,8,87.14
2024-11-03,9,77.89
2024-11-03,10,40.1
2024-11-03,11,30.0
2024-11-03,12,19.99
2024-11-03,13,7.4
2024-11-03,14,24.77
2024-11-03,15,25.1
2024-11-03,16,30.3
2024-11-03,17,65.97
2024-11-03,18,94.73
2024-11-03,19,116.67
2024-11-03,20,114.01
2024-11-03,21,111.04
2024-11-03,22,102.54
2024-11-03,23,100.2
2024-11-03,24,95.24
2024-11-04,1,92.04
2024-11-04,2,89.96
2024-11-04,3,90.07
2024-11-04,4,83.82
2024-11-04,5,85.36
2024-11-04,6,89.89
2024-11-04,7,104.14
2024-11-04,8,121.15
2024-11-04,9,120.75
2024-11-04,10,118.04
2024-11-04,11,99.88
2024-11-04,12,93.32
2024-11-04,13,91.39
2024-11-04,14,90.1
2024-11-04,15,92.4
2024-11-04,16,109.64
2024-11-04,17,120.94
2024-11-04,18,135.24
2024-11-04,19,160.54
2024-11-04,20,151.52
2024-11-04,21,123.0
2024-11-04,22,118.28
2024-11-04,23,118.28
2024-11-04,24,109.64
2024-11-05,1,101.47
2024-11-05,2,94.0
2024-11-05,3,90.43
2024-11-05,4,90.89
2024-11-05,5,91.1
2024-11-05,6,101.47
2024-11-05,7,115.17
2024-11-05,8,124.09
2024-11-05,9,133.14
2024-11-05,10,118.23
2024-11-05,11,105.87
2024-11-05,12,95.28
2024-11-05,13,94.92
2024-11-05,14,99.25
2024-11-05,15,109.5
2024-11-05,16,111.33
2024-11-05,17,115.54
2024-11-05,18,123.62
2024-11-05,19,193.0
2024-11-05,20,186.2
2024-11-05,21,154.45
2024-11-05,22,126.63
2024-11-05,23,121.28
2024-11-05,24,112.23
2024-11-06,1,123.04
2024-11-06,2,119.23
2024-11-06,3,117.98
2024-11-06,4,116.03
2024-11-06,5,110.43
2024-11-06,6,112.53
2024-11-06,7,119.23
2024-11-06,8,125.01
2024-11-06,9,128.89
2024-11-06,10,119.23
2024-11-06,11,100.34
2024-11-06,12,92.33
2024-11-06,13,88.0
2024-11-06,14,90.0
2024-11-06,15,86.0
2024-11-06,16,92.58
2024-11-06,17,105.8
2024-11-06,18,125.0
2024-11-06,19,171.89
2024-11-06,20,167.02
2024-11-06,21,135.18
2024-11-06,22,124.65
2024-11-06,23,117.39
2024-11-06,24,116.16
2024-11-07,1,106.54
2024-11-07,2,95.72
2024-11-07,3,94.01
2024-11-07,4,99.32
2024-11-07,5,100.2
2024-11-07,6,107.61
2024-11-07,7,109.9
2024-11-07,8,122.76
2024-11-07,9,127.51
2024-11-07,10,120.04
2024-11-07,11,105.6
2024-11-07,12,95.0
2024-11-07,13,90.0
2024-11-07,14,90.0
2024-11-07,15,92.0
2024-11-07,16,106.87
2024-11-07,17,119.16
2024-11-07,18,122.98
2024-11-07,19,151.49
2024-11-07,20,144.66
2024-11-07,21,130.99
2024-11-07,22,124.48
2024-11-07,23,115.31
2024-11-07,24,111.73
2024-11-08,1,103.48
2024-11-08,2,104.0
2024-11-08,3,98.78
2024-11-08,4,98.78
2024-11-08,5,98.8
2024-11-08,6,103.23
2024-11-08,7,112.09
2024-11-08,8,126.56
2024-11-08,9,130.37
2024-11-08,10,124.1
2024-11-08,11,117.34
2024-11-08,12,110.94
2024-11-08,13,105.59
2024-11-08,14,106.81
2024-11-08,15,112.53
2024-11-08,16,122.8
2024-11-08,17,127.74
2024-11-08,18,129.88
2024-11-08,19,133.58
2024-11-08,20,134.28
2024-11-08,21,134.28
2024-11-08,22,132.28
2024-11-08,23,127.74
2024-11-08,24,123.76
2024-11-09,1,115.7
2024-11-09,2,115.7
2024-11-09,3,98.96
2024-11-09,4,98.96
2024-11-09,5,98.41
2024-11-09,6,100.17
2024-11-09,7,104.31
2024-11-09,8,109.87
2024-11-09,9,114.1
2024-11-09,10,114.6
2024-11-09,11,109.97
2024-11-09,12,106.4
2024-11-09,13,100.37
2024-11-09,14,96.8
2024-11-09,15,93.23
2024-11-09,16,90.2
2024-11-09,17,114.08
